product_name,brand,store_slug,category,gender,description,image_url,product_url,price,original_price,currency,availability,colour_name,colour_hex,season_tags,subseason_tags,active
Nisa 2.0 in Carafe,TudungPeople,tudungpeople,scarves,women,Signatures,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Carafe_SQ_b.jpg?v=1785911467,https://tudungpeople.com/products/nisa-2-0-in-carafe,69.00,69.00,MYR,in_stock,Carafe,#342525,autumn,deep-autumn,true
Nisa 2.0 in Prune,TudungPeople,tudungpeople,scarves,women,Signatures,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Prune_SQ_b.jpg?v=1785911467,https://tudungpeople.com/products/nisa-2-0-in-prune,69.00,69.00,MYR,in_stock,Prune,#4d2734,winter,deep-winter,true
Nisa 2.0 in Sandy,TudungPeople,tudungpeople,scarves,women,Signatures,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/SandySQa.jpg?v=1725172355,https://tudungpeople.com/products/nisa-2-in-sandy,69.00,69.00,MYR,in_stock,Sandy,#cdac9e,summer,,true
Niya Chiffon 2.0 in Chocolate,TudungPeople,tudungpeople,hijabs,women,Instants,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Chocolatea_4d2d7576-6492-420c-bd47-da1dd09bba8e.jpg?v=1785910988,https://tudungpeople.com/products/niya-chiffon-2-0-in-chocolate,79.00,79.00,MYR,in_stock,Chocolate,#5e2d37,winter,deep-winter,true
Niya Chiffon 2.0 in Sangria,TudungPeople,tudungpeople,hijabs,women,Instants,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Sangriaa_6e1df2fa-f539-46b4-b3e7-4fb7d6e36b8a.jpg?v=1785910994,https://tudungpeople.com/products/niya-chiffon-2-0-in-sangria,79.00,79.00,MYR,in_stock,Sangria,#894655,summer,,true
Niya Chiffon 2.0 in Syrup,TudungPeople,tudungpeople,hijabs,women,Instants,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Syrupa_4968423f-6000-4473-ac66-3269988e8e44.jpg?v=1785910999,https://tudungpeople.com/products/niya-chiffon-2-0-in-syrup,79.00,79.00,MYR,in_stock,Syrup,#a55f49,autumn,,true
Niya Chiffon 2.0 in Foggy,TudungPeople,tudungpeople,hijabs,women,Instants,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Foggya_4d056977-c684-469e-95aa-20e60bbd070e.jpg?v=1785911005,https://tudungpeople.com/products/niya-chiffon-2-0-in-foggy,79.00,79.00,MYR,in_stock,Foggy,#d79373,autumn,soft-autumn,true
Niya Chiffon 2.0 in Parmesan,TudungPeople,tudungpeople,hijabs,women,Instants,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Parmesana_629a1bbf-1340-42dc-800a-c00cd44d68cc.jpg?v=1785911010,https://tudungpeople.com/products/niya-chiffon-2-0-in-parmesan,79.00,79.00,MYR,in_stock,Parmesan,#e9d4bb,spring,,true
Nisa 2.0 in Velvet,TudungPeople,tudungpeople,scarves,women,Signatures,https://cdn.shopify.com/s/files/1/0260/2821/2269/files/Velvet_SQ_b.jpg?v=1785911467,https://tudungpeople.com/products/nisa-2-0-in-velvet,69.00,69.00,MYR,in_stock,Velvet,#8c6366,summer,,true
Nisa 2.0 in Ice White,TudungPeople,tudungpeople,scarves,women,Signatures,https://cdn.shopify.com/s/files/1/0260/2821/2269/products/IceWhitea.jpg?v=1672298637,https://tudungpeople.com/products/nisa-2-in-ice-white,69.00,69.00,MYR,in_stock,Ice White,#ae7c74,autumn,soft-autumn,true
